feature,shap_importance
ut_cos,1.4408113274387395
newell_phi_mean_30m,0.9436211999820382
ut_sin,0.7479798960405556
omni_vx,0.5037494416069835
omni_bz_gsm,0.37092924861469023
omni_by_gsm,0.360381812382651
omni_f,0.32593077973346696
omni_vx_mean_10m,0.3256230563029653
omni_pressure,0.2893353336617907
goes_bx_gsm,0.2650505206910278
omni_bz_gsm_mean_10m,0.25824348615196085
omni_vx_mean_30m,0.24301156314380165
goes_by_gsm,0.22189966711745018
goes_xrsa_log10_roll_max_60m,0.2096744765630294
goes_bt,0.2038326492948923
doy_cos,0.17655118690588278
leo_dayside,0.16586416196311637
goes_bz_gsm,0.13074871339829275
newell_phi_mean_10m,0.10804787589718921
omni_bz_gsm_mean_30m,0.08604083020197585
leo_high_lat,0.08414814462649012
newell_phi_std_30m,0.07596316683707617
omni_bz_gsm_std_30m,0.07211458184833107
goes_xrsb_log10_lag_60m,0.0719269720174073
leo_mid_lat,0.07045571214421545
omni_bz_gsm_std_10m,0.06963338951093263
newell_phi,0.05898944721365049
goes_xrsa_log10_roll_mean_60m,0.054572837146034905
leo_nightside,0.050366930562820336
omni_proton_density,0.03971290929287738
goes_xrsb_log10_roll_mean_60m,0.035202549708353216
goes_xrsa_log10_lag_5m,0.034605001833637926
goes_xrsb_minus_xrsa_log10,0.03449833410729006
omni_vx_std_30m,0.033208766036874775
goes_xrsb_flux,0.031461432778123445
newell_phi_std_10m,0.031374769027305516
goes_xrsa_log10_lag_15m,0.03129481136719474
goes_xrsa_log10_lag_60m,0.03081115615957635
goes_xrsb_log10_roll_max_60m,0.02939057512131451
omni_vx_valid_points_10m,0.027593642744434876
goes_xrsb_flux_log10,0.027190323000836892
goes_xrsb_log10_lag_15m,0.025250265405242982
goes_xrsa_log10_roll_mean_15m,0.02472746261666575
goes_xrsa_flux,0.023780482678364058
omni_vx_std_10m,0.023163400119273925
omni_vx_valid_points_30m,0.022581572380765753
doy_sin,0.02247458369614548
goes_xrsb_log10_roll_mean_15m,0.02010266743930678
leo_high_lat_count,0.01942884314719515
goes_xrsb_log10_lag_5m,0.018884525903788522
leo_nightside_count,0.018611725172450806
omni_bx_gse,0.01809498142050753
omni_bz_gsm_valid_points_30m,0.017928306774104577
omni_bz_gsm_valid_points_10m,0.01753848681896309
newell_phi_valid_points_30m,0.01701730119807742
newell_phi_valid_points_10m,0.01109762186757214
leo_dayside_count,0.00941618587669316
goes_xrsa_flux_log10,0.008885588708619198
leo_mid_lat_count,0.004888435032130795
goes_xrsa_log10_roll_nvalid_60m,0.00398392738163335
goes_xrsb_log10_roll_nvalid_60m,0.000869356008344452
goes_xrsa_log10_roll_nvalid_15m,0.00041817997298416147
goes_xrsb_log10_roll_nvalid_15m,0.00012188432753662219
