feature,coefficient
goes_bx_gsm,4.2005427354577085
ut_sin,-0.9161815842074729
goes_bt,0.7788616569322927
omni_vx,-0.7200656328576645
goes_xrsb_log10_roll_mean_60m,0.6448166337768789
doy_cos,0.6190179274220916
ut_cos,0.5679319777170849
omni_vx_valid_points_10m,-0.5059800404428122
omni_bz_gsm_mean_10m,-0.4803623208582693
newell_phi_valid_points_10m,0.31472214806970394
omni_bz_gsm,-0.3085979641674678
goes_xrsb_log10_roll_mean_15m,0.30014476308982924
newell_phi_valid_points_30m,0.2908524819245389
goes_xrsb_log10_roll_max_60m,-0.2868561898143766
goes_by_gsm,0.26975125166307584
omni_vx_mean_30m,-0.268328890828769
omni_pressure,0.2526534991409395
newell_phi_std_30m,0.21754436918652287
goes_xrsb_flux_log10,-0.20964071995802624
omni_bz_gsm_mean_30m,-0.19880052780103474
omni_vx_valid_points_30m,-0.19532074403959246
omni_proton_density,-0.18783009340268117
doy_sin,-0.1829536259674491
goes_xrsa_log10_lag_60m,-0.18025110909887432
goes_xrsb_log10_lag_15m,-0.17662879024243092
newell_phi_mean_30m,-0.15390352098477222
omni_bz_gsm_valid_points_10m,-0.14713053125106595
goes_xrsb_minus_xrsa_log10,-0.1376278763833628
leo_dayside,0.1350761735570625
goes_xrsa_log10_roll_max_60m,0.12655503862377765
goes_xrsb_log10_lag_5m,-0.12500907456561056
omni_vx_mean_10m,-0.123019837143953
omni_by_gsm,0.09602016958922717
goes_xrsa_flux,-0.0784174305164864
omni_vx_std_30m,-0.07229831973499966
goes_xrsa_log10_roll_mean_60m,-0.070519878754131
goes_xrsa_log10_roll_nvalid_60m,0.06826309624573655
goes_xrsb_log10_roll_nvalid_60m,0.06787250379709411
goes_xrsb_log10_roll_nvalid_15m,-0.06716051761315545
goes_xrsa_log10_roll_nvalid_15m,-0.06687124602637382
goes_xrsa_flux_log10,-0.05522344507746609
goes_xrsb_flux,0.04967732344901866
omni_bz_gsm_std_10m,0.048985878761601265
goes_xrsa_log10_roll_mean_15m,-0.0435679927667816
omni_bx_gse,-0.04263516667019875
leo_nightside,0.042002320895873725
leo_dayside_count,-0.03638090688745124
goes_xrsb_log10_lag_60m,-0.036024379958771835
leo_high_lat,-0.035662087033487104
leo_mid_lat_count,-0.03356950060544118
leo_high_lat_count,-0.031636824754433
newell_phi_std_10m,-0.031297725363056195
omni_f,0.030993356957970442
newell_phi_mean_10m,-0.026144758346003286
goes_bz_gsm,0.022768876785017888
newell_phi,-0.018016661878197174
omni_bz_gsm_valid_points_30m,-0.01620617453328664
omni_bz_gsm_std_30m,-0.011072496766521228
goes_xrsa_log10_lag_5m,0.010355523553469389
goes_xrsa_log10_lag_15m,0.009502746379118914
leo_mid_lat,0.008907897372009177
leo_nightside_count,-0.0036745501247946832
omni_vx_std_10m,-0.002512408629662462
